Symbol,Open,High,Low,Price,Volume,Latest Trading Day,Previous Close,Change,Change Percent
AMD.DEX,532.1000,549.0000,524.6000,538.2000,21086,2026-09-24,538.4000,-0.2000,-0.0371%
AIR.DEX,194.1200,195.6000,191.0200,194.3800,242379,2026-09-24,195.0800,-0.7000,-0.3588%
SIE.DEX,273.0000,278.3500,272.1000,274.8000,707548,2026-09-24,273.9500,0.8500,0.3103%
ADS.DEX,143.9000,145.1000,142.1500,142.2500,356545,2026-09-24,144.4500,-2.2000,-1.5230%
VOW.DEX,72.8500,72.8500,70.4000,70.8000,116980,2026-09-24,73.1500,-2.3500,-3.2126%
RHM.DEX,1016.4000,1017.0000,983.5000,990.0000,206336,2026-09-24,1025.0000,-35.0000,-3.4146%
